category,difficulty,word_1,word_2,word_3,word_4
DOMESTIC PETS,1,DOG,CAT,HAMSTER,GOLDFISH
TYPES OF FRUIT,2,APPLE,BANANA,GRAPE,ORANGE
THINGS YOU SIT ON,3,CHAIR,SOFA,BENCH,STOOL
_ _ _ _ BALL,4,BASE,BASKET,FOOT,BEACH
BASIC SHAPES,1,CIRCLE,SQUARE,TRIANGLE,STAR
PLAYGROUND EQUIPMENT,2,SLIDE,SWING,SEESAW,SANDBOX
GABBY CATS,3,PANDY,MERCAT,CATRAT,CAKEY
RHYMES WITH "LOG",4,FROG,DOG,FOG,JOG
EATING UTENSILS,1,FORK,SPOON,KNIFE,SPORK
BUGS AND INSECTS,2,ANT,BEE,BUTTERFLY,BEETLE
HARRY POTTER HOUSES,3,GRYFFINDOR,SLYTHERIN,RAVENCLAW,HUFFLEPUFF
_ _ _ _ BEAR,4,TEDDY,POLAR,PANDA,GUMMY
PRIMARY COLORS,1,RED,BLUE,YELLOW,GREEN
MUSICAL INSTRUMENTS,2,PIANO,GUITAR,DRUM,FLUTE
THINGS WITH WHEELS,3,CAR,BICYCLE,BUS,SKATEBOARD
WORDS THAT SOUND LIKE LETTERS,4,EYE,TEA,SEA,BEE
PEVENSIE CHILDREN,1,PETER,SUSAN,EDMUND,LUCY
BODY ORGANS,1,HEART,BRAIN,LUNGS,STOMACH
MINECRAFT MONSTERS,1,CREEPER,ZOMBIE,SKELETON,SPIDER
PBS KIDS SHOWS,1,ARTHUR,CYBERCHASE,WORDGIRL,CLIFFORD
PLANETS,1,MARS,JUPITER,SATURN,NEPTUNE
JEWISH HOLIDAYS,1,HANUKKAH,PASSOVER,PURIM,SUKKOT
POKEMON STARTERS,1,BULBASAUR,CHARMANDER,SQUIRTLE,PIKACHU
WILD ROBOT CHARACTERS,2,ROZ,BRIGHTBILL,CHITCHAT,LOUDWING
BONES,2,SKULL,FEMUR,RIBS,PELVIS
MINECRAFT ORES,2,DIAMOND,EMERALD,IRON,COAL
SPACE OBJECTS,2,ASTEROID,COMET,NEBULA,METEOR
SYNAGOGUE ITEMS,2,TORAH,MENORAH,ARK,BIMAH
CAT BREEDS,2,TABBY,SIAMESE,PERSIAN,CALICO
DOG MAN CHARACTERS,2,PETEY,CHIEF,ZUZU,FLIPPY
EEVEELUTIONS,2,VAPOREON,JOLTEON,FLAREON,UMBREON
NARNIA CREATURES,3,FAUN,CENTAUR,DWARF,GRIFFIN
BODY SYSTEMS,3,DIGESTIVE,NERVOUS,CIRCULATORY,SKELETAL
MINECRAFT ENCHANTMENTS,3,SHARPNESS,FORTUNE,EFFICIENCY,MENDING
HEBREW LETTERS,3,ALEPH,BET,SHIN,MEM
POLYGON NAMES,3,PENTAGON,HEXAGON,OCTAGON,NONAGON
PRICKLY ANIMALS,3,URCHIN,PORCUPINE,HEDGEHOG,ECHIDNA
LEGENDARY POKEMON,3,ARTICUNO,ZAPDOS,MOLTRES,MEWTWO
SOUNDS LIKE A NUMBER,4,WON,TOO,ATE,FOR
CAT____,4,FISH,NAP,WALK,CALL
____CRAFT,4,MINE,AIR,WITCH,SPACE
____HOUSE,4,TREE,BIRD,FIRE,CLUB
MATH WORDS WITH OTHER MEANINGS,4,MEAN,PRODUCT,TABLE,POWER
____FISH,4,JELLY,SWORD,ANGEL,BLOW
